Assessment Name,URL,Description,Job Levels,Supported Languages,Assessment Length,Job Title,Test Type Categories,Remote Testing Support,Adaptive/IRT Support,,combined_text
Skilled Labor - Technical 7.1 (International),https://www.shl.com/products/product-catalog/view/skilled-labor-technical-7-1-international/,"Skilled Labor - Technical 7.1 (International) Description This is the international version of the skilled technical labor assessment. It retains focus on technical and mechanical aptitude, troubleshooting, and safety, but with global applicability. This ensures the assessment is valid for skilled trade positions in various countries, accommodating differences in terminology or standards. Companies use it to maintain a consistent bar for technical hires worldwide.","Entry-Level, Professional Individual Contributor",,41.0,,"['Biodata and Situational Judgement', 'Competencies', 'Personality & Behavior']",Yes,No,,"Skilled Labor - Technical 7.1 (International) Skilled Labor - Technical 7.1 (International) Description This is the international version of the skilled technical labor assessment. It retains focus on technical and mechanical aptitude, troubleshooting, and safety, but with global applicability. This ensures the assessment is valid for skilled trade positions in various countries, accommodating differences in terminology or standards. Companies use it to maintain a consistent bar for technical hires worldwide.  ['Biodata and Situational Judgement', 'Competencies', 'Personality & Behavior']"
Skilled Labor - Technical 7.1 (UK),https://www.shl.com/products/product-catalog/view/skilled-labor-technical-7-1-uk/,"Skilled Labor - Technical 7.1 (UK) Description This UK version is geared toward skilled technical roles in the United Kingdom, including trade jobs like plumbing, electrical work, or HVAC. It measures relevant technical know-how, comprehension of UK safety regulations, and practical problem-solving in scenarios that mimic UK job conditions. It assists employers in determining if candidates have both the skill and the adherence to UK industry standards to perform effectively on the job.","Entry-Level, Professional Individual Contributor",,41.0,,"['Biodata and Situational Judgement', 'Competencies', 'Personality & Behavior']",Yes,No,,"Skilled Labor - Technical 7.1 (UK) Skilled Labor - Technical 7.1 (UK) Description This UK version is geared toward skilled technical roles in the United Kingdom, including trade jobs like plumbing, electrical work, or HVAC. It measures relevant technical know-how, comprehension of UK safety regulations, and practical problem-solving in scenarios that mimic UK job conditions. It assists employers in determining if candidates have both the skill and the adherence to UK industry standards to perform effectively on the job.  ['Biodata and Situational Judgement', 'Competencies', 'Personality & Behavior']"
Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-americas/,"Store Manager 7.1 (Americas) Description This assessment is designed for store manager roles (likely retail) in the Americas. It measures competencies such as leadership, operational management, customer service, and sales strategy. The 7.1 version suggests an updated tool possibly integrated with SHL’s Universal Competency Framework, calibrated to the Americas context. It's intended to find candidates who can run a store smoothly, motivate staff, manage inventory, and meet financial goals in the American retail market.",Front Line Manager,,38.0,,"['Biodata and Situational Judgement', 'Competencies']",Yes,Yes,,"Store Manager 7.1 (Americas) Store Manager 7.1 (Americas) Description This assessment is designed for store manager roles (likely retail) in the Americas. It measures competencies such as leadership, operational management, customer service, and sales strategy. The 7.1 version suggests an updated tool possibly integrated with SHL’s Universal Competency Framework, calibrated to the Americas context. It's intended to find candidates who can run a store smoothly, motivate staff, manage inventory, and meet financial goals in the American retail market.  ['Biodata and Situational Judgement', 'Competencies']"
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-international/,"Store Manager 7.1 (International) Description The international version of the Store Manager assessment is adjusted for a global audience beyond the Americas, likely with scenarios and norms that apply to various regions. It similarly evaluates leadership, customer focus, and operational excellence. Companies operating in multiple countries could use this to uniformly gauge store manager candidates, ensuring they meet a global standard of retail management capability.",Front Line Manager,,38.0,,"['Competencies', 'Biodata and Situational Judgement']",Yes,Yes,,"Store Manager 7.1 (International) Store Manager 7.1 (International) Description The international version of the Store Manager assessment is adjusted for a global audience beyond the Americas, likely with scenarios and norms that apply to various regions. It similarly evaluates leadership, customer focus, and operational excellence. Companies operating in multiple countries could use this to uniformly gauge store manager candidates, ensuring they meet a global standard of retail management capability.  ['Competencies', 'Biodata and Situational Judgement']"
Store Manager 7.1 (UK),https://www.shl.com/products/product-catalog/view/store-manager-7-1-uk/,"Store Manager 7.1 (UK) Description This UK-specific version of the Store Manager assessment measures the same competencies—like team leadership, sales management, and operational oversight—but in a British context. It may include UK retail scenarios (e.g., holiday shopping seasons, local consumer behaviors). It helps UK retailers identify managers who can meet the expectations of British customers and follow UK retail laws and business practices.",Front Line Manager,,38.0,,"['Competencies', 'Biodata and Situational Judgement']",Yes,Yes,,"Store Manager 7.1 (UK) Store Manager 7.1 (UK) Description This UK-specific version of the Store Manager assessment measures the same competencies—like team leadership, sales management, and operational oversight—but in a British context. It may include UK retail scenarios (e.g., holiday shopping seasons, local consumer behaviors). It helps UK retailers identify managers who can meet the expectations of British customers and follow UK retail laws and business practices.  ['Competencies', 'Biodata and Situational Judgement']"
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,"Teller 7.0 Description The Teller 7.0 assessment is aimed at bank teller roles and possibly other frontline financial customer service positions. Version 7.0 suggests alignment with a certain edition of SHL’s frameworks. The assessment covers numerical accuracy, cash handling, customer service, and fraud awareness. It’s utilized by banks to ensure tellers can perform transactions correctly, manage cash drawers, and provide courteous, reliable service to customers.",Entry-Level,,29.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']",Yes,No,,"Teller 7.0 Teller 7.0 Description The Teller 7.0 assessment is aimed at bank teller roles and possibly other frontline financial customer service positions. Version 7.0 suggests alignment with a certain edition of SHL’s frameworks. The assessment covers numerical accuracy, cash handling, customer service, and fraud awareness. It’s utilized by banks to ensure tellers can perform transactions correctly, manage cash drawers, and provide courteous, reliable service to customers.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']"
Teller with Sales - Short Form,https://www.shl.com/products/product-catalog/view/teller-with-sales-short-form/,"Teller with Sales - Short Form Description This assessment is for bank tellers who also have sales or cross-selling responsibilities. The short form evaluates not only basic teller competencies (accuracy, customer service) but also sales potential (e.g., ability to identify customer needs and recommend bank products). It's condensed to focus on the most predictive elements, allowing banks to screen for tellers who can both handle transactions and contribute to sales goals.",Entry-Level,,29.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']",Yes,No,,"Teller with Sales - Short Form Teller with Sales - Short Form Description This assessment is for bank tellers who also have sales or cross-selling responsibilities. The short form evaluates not only basic teller competencies (accuracy, customer service) but also sales potential (e.g., ability to identify customer needs and recommend bank products). It's condensed to focus on the most predictive elements, allowing banks to screen for tellers who can both handle transactions and contribute to sales goals.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']"
Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,"Transcriptionist Solution Description The Transcriptionist solution assesses candidates for roles involving transcription of audio or video content into written form. It evaluates typing speed and accuracy, listening skills, and attention to detail. The assessment may also measure vocabulary or familiarity with specific terminology (like medical or legal). It helps identify individuals who can consistently produce error-free transcripts in a timely manner.","Entry-Level, Professional Individual Contributor",,20.0,,"['Knowledge & Skills', 'Personality & Behavior']",Yes,No,,"Transcriptionist Solution Transcriptionist Solution Description The Transcriptionist solution assesses candidates for roles involving transcription of audio or video content into written form. It evaluates typing speed and accuracy, listening skills, and attention to detail. The assessment may also measure vocabulary or familiarity with specific terminology (like medical or legal). It helps identify individuals who can consistently produce error-free transcripts in a timely manner.  ['Knowledge & Skills', 'Personality & Behavior']"
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/,"Workplace Safety - Individual 7.0 Solution Description This assessment is part of a series focusing on workplace safety attitudes and behaviors. The Individual 7.0 version is tailored for individual contributor roles. It measures an employee’s likelihood to follow safety protocols, awareness of hazards, and personal responsibility for maintaining a safe work environment. It's used in industries where safety is critical (manufacturing, construction, etc.) to pre-screen candidates who are more likely to work safely.",General Population,,14.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']",Yes,No,,"Workplace Safety - Individual 7.0 Solution Workplace Safety - Individual 7.0 Solution Description This assessment is part of a series focusing on workplace safety attitudes and behaviors. The Individual 7.0 version is tailored for individual contributor roles. It measures an employee’s likelihood to follow safety protocols, awareness of hazards, and personal responsibility for maintaining a safe work environment. It's used in industries where safety is critical (manufacturing, construction, etc.) to pre-screen candidates who are more likely to work safely.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']"
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-americas/,"Workplace Safety - Individual 7.1 (Americas) Description This is an updated version of the Workplace Safety assessment for individual contributors, calibrated for the Americas. It likely includes cultural considerations or regulatory differences pertinent to North and South American workplaces. The focus remains on assessing how safety-conscious a candidate is. It identifies those who take initiative in safety, who won't cut corners, and who will comply with OSHA or other local safety regulations.",General Population,,14.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']",Yes,No,,"Workplace Safety - Individual 7.1 (Americas) Workplace Safety - Individual 7.1 (Americas) Description This is an updated version of the Workplace Safety assessment for individual contributors, calibrated for the Americas. It likely includes cultural considerations or regulatory differences pertinent to North and South American workplaces. The focus remains on assessing how safety-conscious a candidate is. It identifies those who take initiative in safety, who won't cut corners, and who will comply with OSHA or other local safety regulations.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']"
Workplace Safety - Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-0-solution/,"Workplace Safety - Team 7.0 Solution Description Geared towards team or leadership roles, this assessment (Team 7.0) focuses on safety from a team perspective. It evaluates how a supervisor or team leader manages and promotes safety practices among their team. It covers areas like enforcing safety rules, training, and leading by example in workplace safety. It's used to ensure that those responsible for others are vigilant about preventing accidents and fostering a safety culture.","Front Line Manager, Supervisor",,16.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']",Yes,No,,"Workplace Safety - Team 7.0 Solution Workplace Safety - Team 7.0 Solution Description Geared towards team or leadership roles, this assessment (Team 7.0) focuses on safety from a team perspective. It evaluates how a supervisor or team leader manages and promotes safety practices among their team. It covers areas like enforcing safety rules, training, and leading by example in workplace safety. It's used to ensure that those responsible for others are vigilant about preventing accidents and fostering a safety culture.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']"
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-americas/,"Workplace Safety - Team 7.1 (Americas) Description This is the Americas version of the Team-oriented Workplace Safety assessment. It is intended for roles like team leads or supervisors in American contexts. It assesses how these leaders engage with and maintain safety standards within their teams, with consideration for American safety norms and regulations. The tool seeks out leaders who not only follow safety rules themselves but also actively encourage and ensure their subordinates do the same.","Front Line Manager, Supervisor",,16.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']",Yes,No,,"Workplace Safety - Team 7.1 (Americas) Workplace Safety - Team 7.1 (Americas) Description This is the Americas version of the Team-oriented Workplace Safety assessment. It is intended for roles like team leads or supervisors in American contexts. It assesses how these leaders engage with and maintain safety standards within their teams, with consideration for American safety norms and regulations. The tool seeks out leaders who not only follow safety rules themselves but also actively encourage and ensure their subordinates do the same.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']"
Workplace Safety - Team 7.1 (International),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-international/,"Workplace Safety - Team 7.1 (International) Description Similar to the Americas version, this assessment is for team leaders or supervisors with a focus on safety, but tailored to an international audience. It ensures that safety leadership competencies are evaluated in a way that transcends cultural differences, making it suitable for multinational companies seeking consistent safety leadership criteria across various countries or regions.","Front Line Manager, Supervisor",,16.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']",Yes,No,,"Workplace Safety - Team 7.1 (International) Workplace Safety - Team 7.1 (International) Description Similar to the Americas version, this assessment is for team leaders or supervisors with a focus on safety, but tailored to an international audience. It ensures that safety leadership competencies are evaluated in a way that transcends cultural differences, making it suitable for multinational companies seeking consistent safety leadership criteria across various countries or regions.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']"
Workplace Safety Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-solution/,"Workplace Safety Solution Description This likely refers to a comprehensive solution that covers various roles regarding workplace safety, possibly combining both individual and team assessments. It could be an overarching package to assess safety attitudes at multiple organizational levels. The description would emphasize creating a safer workplace by evaluating and improving safety behaviors across the board, from individual contributors to managers.","General Population, Supervisor",,14.0,,"['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']",Yes,No,,"Workplace Safety Solution Workplace Safety Solution Description This likely refers to a comprehensive solution that covers various roles regarding workplace safety, possibly combining both individual and team assessments. It could be an overarching package to assess safety attitudes at multiple organizational levels. The description would emphasize creating a safer workplace by evaluating and improving safety behaviors across the board, from individual contributors to managers.  ['Biodata and Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior', 'Simulations']"
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"Global Skills Development Report Description This is a report-based product focusing on skills development at a global scale. It's likely generated after assessing an individual's or a group's skill set across various domains. The report would provide insight into strengths and skills gaps, and offer development recommendations. It’s used by organizations to plan training and development initiatives worldwide, ensuring the workforce’s skills remain competitive and aligned with business needs.",,,,,"['Ability & Aptitude', 'Assesment Exercises', 'Biodata and Situational Judgement', 'Competencies', 'Developement & 360', 'Personality & Behavior']",Yes,Yes,,"Global Skills Development Report Global Skills Development Report Description This is a report-based product focusing on skills development at a global scale. It's likely generated after assessing an individual's or a group's skill set across various domains. The report would provide insight into strengths and skills gaps, and offer development recommendations. It’s used by organizations to plan training and development initiatives worldwide, ensuring the workforce’s skills remain competitive and aligned with business needs.  ['Ability & Aptitude', 'Assesment Exercises', 'Biodata and Situational Judgement', 'Competencies', 'Developement & 360', 'Personality & Behavior']"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,".NET Framework 4.5 Description This is a technical test assessing knowledge of Microsoft’s .NET Framework version 4.5. It covers programming concepts, libraries, and features introduced in .NET 4.5. Candidates might be tested on topics such as asynchronous programming (async/await), improvements to the CLR, or new libraries. It’s typically for software developers who would be working on applications built on .NET 4.5.","Professional Individual Contributor, Mid-Professional",English (USA),30.0,,['Knowledge & Skills'],Yes,Yes,,".NET Framework 4.5 .NET Framework 4.5 Description This is a technical test assessing knowledge of Microsoft’s .NET Framework version 4.5. It covers programming concepts, libraries, and features introduced in .NET 4.5. Candidates might be tested on topics such as asynchronous programming (async/await), improvements to the CLR, or new libraries. It’s typically for software developers who would be working on applications built on .NET 4.5.  ['Knowledge & Skills']"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,".NET MVC (New) Description This technical assessment focuses on Microsoft’s ASP.NET MVC framework. The ""(New)"" suggests it’s an updated test, likely covering up-to-date best practices in ASP.NET MVC (Model-View-Controller) web application development. It assesses knowledge in routing, controllers, views, Razor syntax, and possibly related patterns like dependency injection or unit testing in the context of MVC. It's aimed at web developers using ASP.NET MVC.","Professional Individual Contributor, Mid-Professional",English (USA),45.0,,['Knowledge & Skills'],Yes,No,,".NET MVC (New) .NET MVC (New) Description This technical assessment focuses on Microsoft’s ASP.NET MVC framework. The ""(New)"" suggests it’s an updated test, likely covering up-to-date best practices in ASP.NET MVC (Model-View-Controller) web application development. It assesses knowledge in routing, controllers, views, Razor syntax, and possibly related patterns like dependency injection or unit testing in the context of MVC. It's aimed at web developers using ASP.NET MVC.  ['Knowledge & Skills']"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,".NET MVVM (New) Description This test is likely about the MVVM (Model-View-ViewModel) architectural pattern within .NET, commonly used for WPF or Silverlight applications. It assesses understanding of data binding, commands, and separation of UI and logic in desktop applications. ""(New)"" indicates it’s updated, maybe including modern practices or frameworks that use MVVM. Target candidates would be developers working with XAML-based UI frameworks implementing MVVM.","Professional Individual Contributor, Mid-Professional",English (USA),45.0,,['Knowledge & Skills'],Yes,No,,".NET MVVM (New) .NET MVVM (New) Description This test is likely about the MVVM (Model-View-ViewModel) architectural pattern within .NET, commonly used for WPF or Silverlight applications. It assesses understanding of data binding, commands, and separation of UI and logic in desktop applications. ""(New)"" indicates it’s updated, maybe including modern practices or frameworks that use MVVM. Target candidates would be developers working with XAML-based UI frameworks implementing MVVM.  ['Knowledge & Skills']"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,".NET WCF (New) Description This assessment pertains to Windows Communication Foundation (WCF), a framework for building service-oriented applications. It likely tests knowledge on creating and configuring WCF services, understanding bindings, contracts, and security settings. The ""(New)"" suggests the test content is current. It's relevant for developers building or maintaining SOAP-based services or working on legacy systems where WCF is used.","Professional Individual Contributor, Mid-Professional",English (USA),45.0,,['Knowledge & Skills'],Yes,No,,".NET WCF (New) .NET WCF (New) Description This assessment pertains to Windows Communication Foundation (WCF), a framework for building service-oriented applications. It likely tests knowledge on creating and configuring WCF services, understanding bindings, contracts, and security settings. The ""(New)"" suggests the test content is current. It's relevant for developers building or maintaining SOAP-based services or working on legacy systems where WCF is used.  ['Knowledge & Skills']"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,".NET WPF (New) Description This test deals with Windows Presentation Foundation (WPF), which is used for building rich desktop applications on Windows. It examines knowledge of XAML, WPF controls, data binding, events, and possibly the MVVM pattern as applied to WPF. The ""(New)"" indicates up-to-date content, possibly including newer WPF features or performance tuning. Candidates are typically desktop application developers using .NET.","Professional Individual Contributor, Mid-Professional",English (USA),45.0,,['Knowledge & Skills'],Yes,No,,".NET WPF (New) .NET WPF (New) Description This test deals with Windows Presentation Foundation (WPF), which is used for building rich desktop applications on Windows. It examines knowledge of XAML, WPF controls, data binding, events, and possibly the MVVM pattern as applied to WPF. The ""(New)"" indicates up-to-date content, possibly including newer WPF features or performance tuning. Candidates are typically desktop application developers using .NET.  ['Knowledge & Skills']"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,".NET XAML (New) Description This technical assessment focuses on XAML (eXtensible Application Markup Language) in the context of .NET, which is used to design UI in WPF, UWP, or Xamarin.Forms. It covers topics like layout panels, XAML syntax, resource dictionaries, and UI styling. ""(New)"" implies current content possibly covering XAML usage in newer frameworks (like UWP or WinUI). Candidates are those who design and implement user interfaces in XAML.","Professional Individual Contributor, Mid-Professional",English (USA),45.0,,['Knowledge & Skills'],Yes,No,,".NET XAML (New) .NET XAML (New) Description This technical assessment focuses on XAML (eXtensible Application Markup Language) in the context of .NET, which is used to design UI in WPF, UWP, or Xamarin.Forms. It covers topics like layout panels, XAML syntax, resource dictionaries, and UI styling. ""(New)"" implies current content possibly covering XAML usage in newer frameworks (like UWP or WinUI). Candidates are those who design and implement user interfaces in XAML.  ['Knowledge & Skills']"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Accounts Payable (New) Description This assessment evaluates a candidate’s proficiency in accounts payable tasks. It covers understanding of invoice processing, vendor management, basic accounting principles, and use of common financial software or ERP systems for payables. As a ""(New)"" version, it might include updated scenarios or technology (like digital invoice systems). It’s meant for roles in finance departments handling outgoing payments and expense tracking.","Entry-Level, Professional Individual Contributor",English (USA),25.0,,['Knowledge & Skills'],Yes,No,,"Accounts Payable (New) Accounts Payable (New) Description This assessment evaluates a candidate’s proficiency in accounts payable tasks. It covers understanding of invoice processing, vendor management, basic accounting principles, and use of common financial software or ERP systems for payables. As a ""(New)"" version, it might include updated scenarios or technology (like digital invoice systems). It’s meant for roles in finance departments handling outgoing payments and expense tracking.  ['Knowledge & Skills']"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,"Accounts Payable Simulation (New) Description This likely is a simulation-based test where candidates perform tasks related to accounts payable in a simulated environment. It might involve processing sample invoices, resolving discrepancies, and prioritizing payments. The ""(New)"" suggests updated content or interface, perhaps reflecting current software. Simulations can provide a realistic gauge of how someone would handle actual job tasks in accounts payable.","Entry-Level, Professional Individual Contributor",English (USA),35.0,,['Simulations'],Yes,No,,"Accounts Payable Simulation (New) Accounts Payable Simulation (New) Description This likely is a simulation-based test where candidates perform tasks related to accounts payable in a simulated environment. It might involve processing sample invoices, resolving discrepancies, and prioritizing payments. The ""(New)"" suggests updated content or interface, perhaps reflecting current software. Simulations can provide a realistic gauge of how someone would handle actual job tasks in accounts payable.  ['Simulations']"
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,"Accounts Receivable (New) Description This assessment focuses on accounts receivable skills, testing knowledge in invoicing, collections, reconciliation, and customer account management. The updated version may include scenarios with digital billing systems or current best practices in credit management. It’s intended for roles that manage incoming payments, ensure clients pay on time, and maintain accurate financial records of receivables.","Entry-Level, Professional Individual Contributor",English (USA),25.0,,['Knowledge & Skills'],Yes,No,,"Accounts Receivable (New) Accounts Receivable (New) Description This assessment focuses on accounts receivable skills, testing knowledge in invoicing, collections, reconciliation, and customer account management. The updated version may include scenarios with digital billing systems or current best practices in credit management. It’s intended for roles that manage incoming payments, ensure clients pay on time, and maintain accurate financial records of receivables.  ['Knowledge & Skills']"
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,"Accounts Receivable Simulation (New) Description This is a simulation test for accounts receivable tasks. Candidates might have to handle tasks like applying payments to customer accounts, following up on overdue invoices, and adjusting ledger entries in a simulated environment. The ""(New)"" means it’s up-to-date with current practices or software interfaces. This simulation helps employers see how a candidate would perform in real AR scenarios, such as dealing with a customer about a late payment.","Entry-Level, Professional Individual Contributor",English (USA),35.0,,['Simulations'],Yes,No,,"Accounts Receivable Simulation (New) Accounts Receivable Simulation (New) Description This is a simulation test for accounts receivable tasks. Candidates might have to handle tasks like applying payments to customer accounts, following up on overdue invoices, and adjusting ledger entries in a simulated environment. The ""(New)"" means it’s up-to-date with current practices or software interfaces. This simulation helps employers see how a candidate would perform in real AR scenarios, such as dealing with a customer about a late payment.  ['Simulations']"
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"ADO.NET (New) Description This technical test covers ADO.NET, the data access framework for .NET applications. It checks knowledge of connecting to databases, executing commands, using DataReaders, DataSets, and handling transactions. Being a ""(New)"" test, it might include Entity Framework basics if considered part of modern ADO.NET use. It's relevant for developers who need to interact with SQL databases from .NET code, ensuring they know how to retrieve and manipulate data efficiently and safely.","Professional Individual Contributor, Mid-Professional",English (USA),30.0,,['Knowledge & Skills'],Yes,No,,"ADO.NET (New) ADO.NET (New) Description This technical test covers ADO.NET, the data access framework for .NET applications. It checks knowledge of connecting to databases, executing commands, using DataReaders, DataSets, and handling transactions. Being a ""(New)"" test, it might include Entity Framework basics if considered part of modern ADO.NET use. It's relevant for developers who need to interact with SQL databases from .NET code, ensuring they know how to retrieve and manipulate data efficiently and safely.  ['Knowledge & Skills']"
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,"Adobe Experience Manager (New) Description This assessment is for Adobe Experience Manager (AEM), a content management solution for building websites, mobile apps, and forms. It likely tests skills in AEM development or administration—such as templates, components, the use of CRXDE Lite, Sling, OSGi, and JCR. The ""(New)"" suggests updated content reflecting the latest version of AEM (perhaps AEM as a Cloud Service). Target candidates would be web developers or content authors who specialize in using AEM.","Professional Individual Contributor, Mid-Professional",,30.0,,['Knowledge & Skills'],Yes,Yes,,"Adobe Experience Manager (New) Adobe Experience Manager (New) Description This assessment is for Adobe Experience Manager (AEM), a content management solution for building websites, mobile apps, and forms. It likely tests skills in AEM development or administration—such as templates, components, the use of CRXDE Lite, Sling, OSGi, and JCR. The ""(New)"" suggests updated content reflecting the latest version of AEM (perhaps AEM as a Cloud Service). Target candidates would be web developers or content authors who specialize in using AEM.  ['Knowledge & Skills']"
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,"Adobe Photoshop CC Description This test assesses proficiency in Adobe Photoshop Creative Cloud edition. It covers knowledge of Photoshop tools, photo editing techniques, use of layers and masks, filters, and output settings. It might also include design principles or troubleshooting common tasks in Photoshop. The test is intended for graphic designers, photographers, or marketing professionals who need to demonstrate their ability to use Photoshop effectively.","Professional Individual Contributor, Mid-Professional",English (USA),25.0,,['Knowledge & Skills'],Yes,Yes,,"Adobe Photoshop CC Adobe Photoshop CC Description This test assesses proficiency in Adobe Photoshop Creative Cloud edition. It covers knowledge of Photoshop tools, photo editing techniques, use of layers and masks, filters, and output settings. It might also include design principles or troubleshooting common tasks in Photoshop. The test is intended for graphic designers, photographers, or marketing professionals who need to demonstrate their ability to use Photoshop effectively.  ['Knowledge & Skills']"
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,"Aeronautical Engineering (New) Description This is a technical knowledge assessment likely aimed at graduates or professionals in aeronautical/aerospace engineering. It may include questions on aerodynamics, aircraft structures, propulsion, flight mechanics, and aerospace materials. ""(New)"" implies updated content, possibly including recent technologies like drones or new aerospace regulations. The test helps employers gauge theoretical and practical knowledge of candidates in the aerospace field.","Professional Individual Contributor, Mid-Professional",English (USA),40.0,,['Knowledge & Skills'],Yes,Yes,,"Aeronautical Engineering (New) Aeronautical Engineering (New) Description This is a technical knowledge assessment likely aimed at graduates or professionals in aeronautical/aerospace engineering. It may include questions on aerodynamics, aircraft structures, propulsion, flight mechanics, and aerospace materials. ""(New)"" implies updated content, possibly including recent technologies like drones or new aerospace regulations. The test helps employers gauge theoretical and practical knowledge of candidates in the aerospace field.  ['Knowledge & Skills']"
Adobe Illustrator CC,https://www.shl.com/products/product-catalog/view/adobe-illustrator-cc/,"Adobe Illustrator CC Description This test measures proficiency in Adobe Illustrator Creative Cloud. It covers creating and editing vector graphics, using paths and shapes, typography, color management, and exporting artwork. It can include knowledge of Illustrator-specific tools like the Pen tool, layers, and effects. It's designed for graphic designers or artists who need to show their skills in producing logos, illustrations, and other vector-based designs.","Professional Individual Contributor, Mid-Professional",English (USA),25.0,,['Knowledge & Skills'],Yes,Yes,,"Adobe Illustrator CC Adobe Illustrator CC Description This test measures proficiency in Adobe Illustrator Creative Cloud. It covers creating and editing vector graphics, using paths and shapes, typography, color management, and exporting artwork. It can include knowledge of Illustrator-specific tools like the Pen tool, layers, and effects. It's designed for graphic designers or artists who need to show their skills in producing logos, illustrations, and other vector-based designs.  ['Knowledge & Skills']"
Agency Development Manager Solution,https://www.shl.com/products/product-catalog/view/agency-development-manager-solution/,"Agency Development Manager Solution Description This assessment is for managerial roles focused on developing and expanding insurance or financial agencies. It evaluates strategic thinking, coaching ability, and sales leadership. Candidates are tested on how they would recruit and train new agents, open new markets, and grow an agency’s business. Key traits include motivational leadership, analytical planning, and strong communication to ensure their teams meet targets and follow best practices.",Manager,,61.0,,"['Competencies', 'Personality & Behavior', 'Ability & Aptitude', 'Biodata and Situational Judgement']",Yes,Yes,,"Agency Development Manager Solution Agency Development Manager Solution Description This assessment is for managerial roles focused on developing and expanding insurance or financial agencies. It evaluates strategic thinking, coaching ability, and sales leadership. Candidates are tested on how they would recruit and train new agents, open new markets, and grow an agency’s business. Key traits include motivational leadership, analytical planning, and strong communication to ensure their teams meet targets and follow best practices.  ['Competencies', 'Personality & Behavior', 'Ability & Aptitude', 'Biodata and Situational Judgement']"
